Date,AAPL,MSFT,GOOGL,GE,CAT,PFE,JNJ,DE,CCL
2010-01-01,5.786132335662842,21.215290069580078,13.213860511779785,56.19780731201172,35.5855827331543,9.888757705688477,40.48357391357422,37.42333984375,24.839221954345703
2010-02-01,6.164522171020508,21.584182739257812,13.135564804077148,56.127906799316406,39.127254486083984,9.300515174865723,40.5737190246582,42.93009567260742,26.79922866821289
2010-03-01,7.079771995544434,22.154064178466797,14.14093017578125,64.0040283203125,43.10514831542969,9.174372673034668,42.31184768676758,44.54839324951172,29.062166213989258
2010-04-01,7.865775108337402,23.099531173706055,13.108137130737305,66.3250732421875,46.698944091796875,8.94433879852295,41.727806091308594,45.02629470825195,31.170080184936523
2010-05-01,7.738943099975586,19.514326095581055,12.10900592803955,57.49812698364258,41.93168640136719,8.14726734161377,37.834068298339844,43.415531158447266,27.081335067749023
2010-06-01,7.577765941619873,17.482593536376953,11.09466552734375,50.71086120605469,41.45549774169922,7.708759784698486,38.677371978759766,41.91014099121094,22.664485931396484
2010-07-01,7.750089168548584,19.609989166259766,12.089556694030762,57.04922866821289,48.13584518432617,8.108796119689941,38.04213333129883,50.4431037902832,25.992202758789062
2010-08-01,7.323800086975098,17.832090377807617,11.221084594726562,51.24519729614258,45.267677307128906,8.600730895996094,37.341400146484375,47.863460540771484,23.368995666503906
2010-09-01,8.548443794250488,18.70633316040039,13.110382080078125,57.509281158447266,54.660240173339844,9.385257720947266,40.95919418334961,52.78822326660156,28.709604263305664
2010-10-01,9.067526817321777,20.37149429321289,15.302385330200195,57.11474609375,54.604652404785156,9.521903038024902,42.1358757019043,58.341556549072266,32.45335388183594
2010-11-01,9.373917579650879,19.29448890686035,13.856426239013672,56.43736267089844,59.0966911315918,8.90970516204834,40.68814468383789,56.74630355834961,31.055097579956055
2010-12-01,9.717663764953613,21.44964027404785,14.8104248046875,65.20777893066406,65.42546844482422,9.670055389404297,41.238319396972656,63.08944320678711,34.747615814208984
2011-01-01,10.222586631774902,21.311302185058594,14.969757080078125,72.36946868896484,67.7656021118164,10.06215763092041,39.85149383544922,69.34329223632812,33.69261169433594
2011-02-01,10.641046524047852,20.427501678466797,15.294904708862305,75.17224884033203,72.23906707763672,10.625467300415039,40.96494674682617,68.7711181640625,32.155303955078125
2011-03-01,10.4994535446167,19.628284454345703,14.630646705627441,72.54467010498047,78.14845275878906,11.334321975708008,39.86203384399414,73.91278076171875,29.06244659423828
2011-04-01,10.548257827758789,20.038013458251953,13.566934585571289,73.99193572998047,80.99787902832031,11.70265007019043,44.21491622924805,74.65816497802734,28.842737197875977
2011-05-01,10.478961944580078,19.334516525268555,13.19092082977295,71.06119537353516,74.56255340576172,11.970515251159668,45.271175384521484,65.91357421875,29.40338134765625
2011-06-01,10.112625122070312,20.23160171508789,12.626399040222168,68.23899841308594,75.02767944335938,11.607455253601074,45.14128875732422,63.134002685546875,28.687034606933594
2011-07-01,11.763864517211914,21.320999145507812,15.052788734436035,65.33464050292969,69.62223052978516,10.846772193908691,43.967288970947266,60.42405319213867,25.386077880859375
2011-08-01,11.59365463256836,20.698490142822266,13.488639831542969,59.497920989990234,64.40311431884766,10.694633483886719,44.65269088745117,62.20192337036133,25.18024253845215
2011-09-01,11.487910270690918,19.4901180267334,12.84233570098877,55.521663665771484,52.258541107177734,10.073186874389648,43.605865478515625,49.695350646972656,23.287578582763672
2011-10-01,12.194677352905273,20.85262107849121,14.777260780334473,61.541717529296875,66.85183715820312,10.973387718200684,44.08513641357422,58.762088775634766,27.061241149902344
2011-11-01,11.51441764831543,20.030418395996094,14.945570945739746,58.595394134521484,69.65573120117188,11.434886932373047,44.311073303222656,61.35567855834961,25.51642417907715
2011-12-01,12.201306343078613,20.481046676635742,16.105281829833984,65.96127319335938,64.47498321533203,12.453495025634766,45.31656265258789,59.884674072265625,25.282867431640625
2012-01-01,13.75223159790039,23.297590255737305,14.46483039855957,69.57621765136719,77.65463256835938,12.315377235412598,45.54459762573242,67.04816436767578,23.392854690551758
2012-02-01,16.341920852661133,25.041154861450195,15.415838241577148,70.84053039550781,81.64019775390625,12.159996032714844,44.97106170654297,64.54208374023438,23.462568283081055
2012-03-01,18.06245231628418,25.618955612182617,15.98908519744873,75.29373168945312,76.14317321777344,13.170125961303711,45.981746673583984,62.96217727661133,25.05284309387207
2012-04-01,17.593379974365234,25.42837142944336,15.081713676452637,73.45547485351562,73.46261596679688,13.315494537353516,45.382225036621094,64.45830535888672,25.373037338256836
2012-05-01,17.405092239379883,23.180953979492188,14.48353099822998,71.6171875,62.89794158935547,12.71658706665039,43.52093505859375,57.81369400024414,25.06065559387207
2012-06-01,17.59398651123047,24.452152252197266,14.463833808898926,78.18241119384766,60.952552795410156,13.506171226501465,47.5556526184082,63.292198181152344,26.97365379333496
2012-07-01,18.400169372558594,23.55687713623047,15.782875061035156,78.7283706665039,60.4500617980957,14.116887092590332,48.7241096496582,60.48860549926758,26.19443130493164
2012-08-01,20.041473388671875,24.636005401611328,17.082469940185547,78.57659912109375,61.64541244506836,14.011190414428711,47.46411895751953,59.14213180541992,27.296361923217773
2012-09-01,20.183801651000977,23.946279525756836,18.813182830810547,86.16487121582031,62.158321380615234,14.727317810058594,48.94667053222656,64.93743896484375,28.88246726989746
2012-10-01,18.01202392578125,22.964614868164062,16.963031768798828,80.51475524902344,61.269744873046875,14.739165306091309,50.30333709716797,67.65721130371094,30.024124145507812
2012-11-01,17.708250045776367,21.419692993164062,17.41360092163086,80.78240203857422,61.952266693115234,14.82806396484375,49.529117584228516,66.55651092529297,30.65045928955078
2012-12-01,16.174894332885742,21.668718338012695,17.638261795043945,80.24715423583984,65.12837219238281,14.997149467468262,50.23222351074219,68.4332275390625,29.34385871887207
2013-01-01,13.844265937805176,22.269046783447266,18.84285545349121,85.95630645751953,71.92158508300781,16.31268310546875,52.969573974609375,74.88124084472656,31.314468383789062
2013-02-01,13.416007995605469,22.552995681762695,19.977630615234375,89.58280944824219,67.52104949951172,16.50954818725586,54.53886413574219,69.9215087890625,28.928688049316406
2013-03-01,13.532721519470215,23.402267456054688,19.802837371826172,89.9269027709961,63.573734283447266,17.408315658569336,58.89004898071289,68.4487533569336,27.93109130859375
2013-04-01,13.53638744354248,27.074979782104492,20.560354232788086,86.69852447509766,61.89246368408203,17.534982681274414,61.562618255615234,71.5115737915039,28.10209846496582
2013-05-01,13.748863220214844,28.547338485717773,21.723552703857422,90.70481872558594,63.121402740478516,16.425100326538086,60.8041877746582,69.75779724121094,26.953908920288086
2013-06-01,12.20270824432373,28.45098304748535,21.951705932617188,90.19914245605469,60.686256408691406,17.03643798828125,62.48385238647461,65.06512451171875,28.130956649780273
2013-07-01,13.926032066345215,26.226961135864258,22.13572120666504,95.54590606689453,60.99525451660156,17.778474807739258,68.0438232421875,66.93663787841797,30.37881088256836
2013-08-01,14.993569374084473,27.51194953918457,21.117141723632812,90.72349548339844,61.1463623046875,17.298006057739258,62.88412857055664,67.39594268798828,29.607635498046875
2013-09-01,14.7682466506958,27.60626983642578,21.840497970581055,93.66399383544922,61.783451080322266,17.616870880126953,63.56320571899414,65.58292388916016,26.9637393951416
2013-10-01,16.191635131835938,29.373144149780273,25.69713592529297,103.27473449707031,61.75381851196289,18.818714141845703,67.90391540527344,66.34527587890625,28.62419319152832
2013-11-01,17.2253360748291,31.62942123413086,26.420490264892578,105.32915496826172,63.11136245727539,19.45642852783203,69.40701293945312,68.2908706665039,29.830289840698242
2013-12-01,17.480133056640625,31.267532348632812,27.944496154785156,110.74179077148438,67.74397277832031,18.927326202392578,67.6248550415039,74.0385513305664,33.418853759765625
