Date,^GSPC_Close,^IXIC_Close,^IBEX_Close,^GDAXI_Close,GC=F_Close
2022-01-01,-0.7594485412267629,-0.653400852047576,-1.34253408713003,-0.5436110247959887,-2.134071269616485
2022-02-01,-1.1006401280922842,-0.9571761576480329,-1.5202522239773861,-1.2828171715495882,-1.5658563452587744
2022-03-01,-0.7236443478358057,-0.6654406547547351,-1.565613828150981,-1.3166751962813819,-1.2948117571513944
2022-04-01,-1.683732958332165,-1.838230396984533,-1.3805781301962088,-1.5485469264385938,-1.5119737752579736
2022-05-01,-1.6832035541452055,-1.9957213405629506,-1.0250080541237114,-1.335993850578539,
2022-06-01,-2.5187033597362234,-2.6503422664384555,-2.026404535251081,-2.5101555613544497,-2.084543101704256
2022-07-01,-1.6876846664743819,-1.8033735739741876,-1.949916341037579,-1.9977210028730727,-2.3087808571076445
2022-08-01,-2.1100245035708314,-2.16063718340481,-2.3092114493265714,-2.4726966377914295,-2.5814585120953586
2022-09-01,-3.0,-2.9321283071500943,-3.0,-3.0,-2.855769233963406
2022-10-01,-2.3100510522104294,-2.6755842517963546,-2.2155634249251746,-2.1662515005233893,-3.0
2022-11-01,-1.8085870535578608,-2.3771756920482643,-1.6745588418689725,-1.3296345732022572,-2.4007621200237717
2022-12-01,-2.3883075791268085,-3.0,-1.8529433925008314,-1.6760847746436887,-1.999637576084938
2023-01-01,-1.8170439913311045,-2.3046957760991447,-0.7822411768373794,-0.7945527264177992,
2023-02-01,-2.0735226731068357,-2.384924284368095,-0.30256095152976403,-0.6212215067297411,-1.9495646096202788
2023-03-01,-1.7382333546990405,-1.9083345395066464,-0.5181906281177255,-0.42825720617462304,-1.187046617149793
2023-04-01,-1.5932613121420027,-1.9054304115598302,-0.5068836776687728,-0.21345740955144565,-1.0722064042398616
2023-05-01,-1.5683240220287042,-1.4646983267761366,-0.7606911997006982,-0.40251424536968194,-1.2148041033961214
2023-06-01,-0.9164674701715052,-0.9344654155528542,-0.03864290613568322,-0.048431338943862645,-1.447750662976653
2023-07-01,-0.5825757788172838,-0.5873947972262403,0.025873222896574788,0.17031236731407207,-1.1788826115250806
2023-08-01,-0.7784576808998618,-0.7808302453609564,-0.1545053728799468,-0.19538288402292636,-1.3546811317326222
2023-09-01,-1.3075818718673242,-1.2880657669794622,-0.258130767791819,-0.6055323354974376,-1.8450656033793456
2023-10-01,-1.5346656802755567,-1.5169671640824194,-0.8044562687063519,-1.0271998039121573,
2023-11-01,-0.6335585784752493,-0.6618958210396437,0.5801801005986036,0.0009836549397066463,-0.8109582242490498
2023-12-01,-0.14679142827955616,-0.17363976545917748,0.6385763946624543,0.3933594299446286,-0.6787017317617887
2024-01-01,0.03588713338024796,-0.07870356781005139,0.6061195751579644,0.5046735817485857,-0.754899117592442
2024-02-01,0.6397255490264553,0.4983445903886041,0.5044895244429668,1.0713674471075558,-0.7695940619615338
2024-03-01,1.020600097292725,0.6771598009257342,1.9322245489690717,1.667237239730131,0.16491218279187336
2024-04-01,0.49376528532042574,0.22838701057620003,1.6393090601097438,1.2572192757303062,0.5676697936110413
2024-05-01,1.076400475052024,0.8982749528580234,2.2613238381277014,1.6712247403211702,0.7391139117300112
2024-06-01,1.5172447531633377,1.5186493962891694,1.7580982914865313,1.4791458364026644,0.7652389954844838
2024-07-01,1.666192032937568,1.4358155536639163,1.9194548657299642,1.679062537181835,1.3029750983876287
2024-08-01,1.970014742926229,1.5068458348558105,2.36760969196874,1.9704988079779069,1.6692670831718042
2024-09-01,2.244876690980698,1.8025810421944737,3.0,2.2763801212376453,
2024-10-01,2.107470422482188,1.7441122378850427,2.7277017687894904,2.095350452827856,3.0
2024-11-01,2.8951673828982445,2.442494885993848,2.686065846358497,2.4970189621850833,2.5575106293851713
2024-12-01,3.0,3.0,2.868706092035252,3.0,
